card_number,price,title,rarity,store,set_name,condition,stock,available_variants,url
OP08-087,5.0,Scratchmen Apoo,Uncommon,Tanuki Trader,Two Legends (OP08),,33 in stock,33 in stock,https://tanukitrader.co.za/product/scratchmen-apoo-4/
OP10-071,86.0,Donquixote Doflamingo [Royal Blood],Super Rare,Knightly Gaming,Royal Blood,Near Mint Foil,In stock,Near Mint Foil R86.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/donquixote-doflamingo-royal-blood
OP11-038,3.0,Gum-Gum Elephant Gatling [A Fist of Divine Speed],Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/gum-gum-elephant-gatling-a-fist-of-divine-speed
OP11-054,727.0,Nami (054) (Alternate Art) [A Fist of Divine Speed],Super Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R727.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/nami-054-alternate-art-a-fist-of-divine-speed
OP11-114,3.0,Gum-Gum Fire-Fist Pistol Red Hawk [A Fist of Divine Speed],Rare,Knightly Gaming,A Fist of Divine Speed,Near Mint Foil,In stock,Near Mint Foil R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/gum-gum-fire-fist-pistol-red-hawk-a-fist-of-divine-speed
OP12-118,345.0,Jewelry Bonney [Legacy of the Master],Secret Rare,Big Bang Shop,Legacy of the Master,Near Mint Foil,In stock,Near Mint Foil R345.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/jewelry-bonney-legacy-of-the-master
OP12-119,405.0,Bartholomew Kuma [Legacy of the Master],Secret Rare,Big Bang Shop,Legacy of the Master,Near Mint Foil,In stock,Near Mint Foil R405.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/bartholomew-kuma-legacy-of-the-master
OP12-119,619.0,Bartholomew Kuma (Alternate Art) [Legacy of the Master],Secret Rare,Knightly Gaming,Legacy of the Master,Near Mint Foil,In stock,Near Mint Foil R619.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/bartholomew-kuma-alternate-art-legacy-of-the-master
OP13-086,8.0,Saint Shalria,Uncommon,Tanuki Trader,Carrying On His Will (OP13),,6 in stock,6 in stock,https://tanukitrader.co.za/product/saint-shalria/
OP13-091,10.0,St. Marcus Mars,Rare,Tanuki Trader,Carrying On His Will (OP13),,3 in stock,3 in stock,https://tanukitrader.co.za/product/st-marcus-mars/
OP13-108,641.0,Jewelry Bonney (Alternate Art) [Carrying On His Will],Super Rare,Knightly Gaming,Carrying On His Will,Near Mint Foil,In stock,Near Mint Foil R641.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/jewelry-bonney-alternate-art-carrying-on-his-will
OP14-031,1352.0,Nami (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R1352.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/nami-alternate-art-the-azure-seas-seven
OP14-033,557.0,Perona (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R557.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/perona-alternate-art-the-azure-seas-seven
OP14-084,932.0,Ms. All Sunday (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R932.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/ms-all-sunday-alternate-art-the-azure-seas-seven
OP14-091,379.0,Mr.2.Bon.Kurei (Bentham) (Alternate Art) [The Azure Sea's Seven],Super Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R379.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/mr-2-bon-kurei-bentham-alternate-art-the-azure-seas-seven
OP14-096,2107.0,Ground Death (Alternate Art) [The Azure Sea's Seven],Rare,Knightly Gaming,The Azure Sea's Seven,Near Mint Foil,In stock,Near Mint Foil R2107.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/ground-death-alternate-art-the-azure-seas-seven
ST01-006,420.0,Tony Tony.Chopper [One Piece Film: Red],Common,Big Bang Shop,One Piece Film: Red,Near Mint Foil,In stock,Near Mint Foil R420.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/tony-tony-chopper-one-piece-film-red
ST01-007,3485.0,Nami (TR),,Tanuki Trader,Wings of the Captain (OP06),,1 in stock,1 in stock,https://tanukitrader.co.za/product/nami-tr/
ST01-011,3.0,Brook (ST01-011) (Reprint) [Premium Booster -The Best- Vol. 2],Common,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint,In stock,Near Mint R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/brook-st01-011-reprint-premium-booster-the-best-vol-2
ST01-014,3.0,Guard Point [Starter Deck: Straw Hat Crew],Common,Knightly Gaming,Starter Deck: Straw Hat Crew,Near Mint,In stock,Near Mint R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/guard-point-starter-deck-straw-hat-crew
